grove,array,butterfly_present,temp_mean,temp_range,temp_std,diurnal_range,isothermality,temp_stability,temp_extremity,hum_mean,hum_range,hum_std,dewpt_mean,dewpt_range,light_mean,light_range,light_std,sat_vp,actual_vp,vpd,cold_days,humid_days,n_observations
AB,Cluster,1,14.308820428049637,39.353,5.602220754343845,21.50254411764706,54.640164962384205,0.17850064177221522,0.006028761382987469,66.77266429228273,97,13.245999168927781,6.112396261101649,39.1,11650.04974579841,128347.52686567164,28100.567029787428,1.6308715455415213,1.0889763821428027,0.5418951633987186,0,33,68
AB,NE,0,12.96350871810172,24.236,2.8835542051513077,10.468926470588235,43.19576856984747,0.3467942437889866,0.20900177365726869,68.43784814260191,89.5,10.939451946972943,5.836885077127735,31.5,2112.70034653337,43631.78955223881,4868.4268526725,1.494150499451171,1.0225644498363204,0.4715860496148505,0,34,68
AB,NW,0,12.848481701861306,28.398,3.0867109253928486,12.182323529411764,42.89852640823919,0.3239694367792893,0.05223517408350631,71.146921823294,92.5,10.315428909445405,6.189557649427008,35.7,1545.9387586626383,18227.56865671642,2793.732389696238,1.4829418113807717,1.0550674512280176,0.42787436015275415,0,39,68
AB,SE,0,14.299493002562352,41.527,6.2235971453682835,22.173375,53.39508030919643,0.1606787805576745,0.10894612756235311,66.72284887161575,99,15.224467112668345,6.096469948302656,39.8,19236.306540249574,158266.86086956522,41786.62479636455,1.6298870701100534,1.0875070865675367,0.5423799835425167,0,40,72
AB,SW,0,12.825952517601001,34.857,4.07961183536258,17.787676470588234,51.03042852393561,0.24512135966757337,0.05462039906569949,67.98397190264329,90.5,13.20570749148154,6.484919902510427,27.799999999999997,7781.737315304152,134098.04925373135,21269.672821351436,1.480755144457347,1.0066761613548278,0.47407898310251917,0,24,68
BL,Cluster,1,11.322893284819965,27.341,3.815057307960059,13.457525,49.221041659046854,0.2621192604141267,0.3465442151800353,88.71035256410258,79.5,9.87722958158261,8.942162432731866,21.8,2804.8814658492547,75592.79615384615,7885.6235369176275,1.3411125015744598,1.189705628427959,0.1514068731465008,5,27,42
BL,NE,0,11.843287016912509,36.828,4.367854288798056,18.605394736842104,50.51969897046297,0.22894536627850273,0.4902077747541398,67.8310769142484,78,12.359363951938507,4.718128499702564,23.8,6001.072487136547,92146.18648648649,14939.170253833792,1.388090529098588,0.9415567544322608,0.44653377466632727,5,8,41
BL,NW,0,11.061274042530442,29.961,3.743712077799321,12.088761904761904,40.34832583946432,0.267114558817203,0.19733706858065858,80.35885753163363,79.5,10.298811968071627,7.076240838331743,24,1020.5426723238559,35711.045945945945,3193.5995122854297,1.3180272284925252,1.0591516227724476,0.2588756057200776,6,33,42
BL,SE,0,12.121276446921351,36.796,5.41067947856194,20.379261904761904,55.38444913784625,0.18481967079406111,0.42043709474529756,78.56687644675927,84,11.455828471191897,7.1950697936621975,25.6,10317.427540884402,119958.80540540541,21970.077445624574,1.413773219967419,1.1107574589691722,0.3030157609982467,6,22,42
BL,SW,0,10.866207395463233,29.468,3.6444873305274825,13.06096875,44.322549036242705,0.2743870150469876,0.4056085767589668,81.28574084167744,81.5,9.875843583744174,7.203850146021745,24.099999999999998,1158.8767214366512,41726.088461538464,3914.1316920926865,1.3010425411731001,1.0575620682579405,0.24348047291515962,6,22,41
HB,Cluster,1,14.044777127448759,30.185000000000002,3.1483541445252476,13.326784615384616,44.15035486296046,0.3176262752203164,0.04665212744875902,66.13301808449631,95.2,11.616312624163228,6.786660743235816,33.2,7185.879854081864,92287.10634920635,18773.1911841683,1.603203467038503,1.060246838787845,0.5429566282506579,0,28,65
HB,NE,0,13.430086338822628,22.173000000000002,2.3444443467247793,8.369539682539683,37.74653715121852,0.4265403021389753,0.01524236719142813,63.60053971157477,88,10.9699438537346,5.257733980879592,28.1,1193.9799553177627,25499.995238095238,2455.7543378768473,1.5403820220143933,0.9796912796212226,0.5606907423931707,0,12,72
HB,NW,0,13.366879389344795,26.024,2.5666701770471096,9.918086956521739,38.11130862481455,0.3896098567485111,0.14139491621080502,65.0432446456715,84,11.758919964705926,5.839623438027687,27.799999999999997,2308.0235832480203,45996.115942028984,4878.629865549336,1.5340464579617956,0.997793590630349,0.5362528673314466,0,14,70
HB,SE,0,13.367999597503639,24.549,2.7393291846844776,10.862571428571428,44.248529180705646,0.3650528770295208,0.06100908305191233,69.44351838525134,89.5,10.48592666371925,6.854576269930151,31.3,2594.9811843724333,40365.49848484849,5166.430165217873,1.5341585429202476,1.0653736698117262,0.46878487310852135,0,38,70
HB,SW,0,13.67488815916927,29.554,2.9743143747130873,13.37898611111111,45.269628852646385,0.33621193795173837,0.05023711750262194,68.86742539284495,89.5,10.381084925722561,6.799042368069278,31,2217.1756221330297,34903.12394366197,4791.577582650658,1.5651370260796913,1.0778695737312236,0.4872674523484677,0,38,72
HR,Cluster,1,13.729998524485147,28.083999999999996,3.0896726371776446,13.500176470588235,48.07070385482209,0.32365888475274857,0.03562830697994812,67.44904758576791,84.5,9.719589231348593,6.9961039218711365,28.1,3275.436540154921,41774.92647058824,5794.167572076317,1.57075783089966,1.0594611968206875,0.5112966340789724,0,15,34
HR,NE,0,14.062465002299946,33.423,3.957694295354544,17.796529411764705,53.246355538894484,0.2526723706714231,0.0849580578554967,64.56853922081086,84.7,11.425550063729146,7.257977558639146,31.3,6154.685165475505,93554.31764705882,15131.408744695347,1.6050439561462333,1.036353436335535,0.5686905198106984,0,5,34
HR,NW,0,14.191653577040006,28.395,3.790155366780175,17.244,60.729001584786054,0.2638414268620136,0.19451707246979488,61.90504598178014,78.30000000000001,11.472549733849636,7.308007849631964,23.1,6800.486893019976,112614.76764705882,17159.24676563065,1.618542813565163,1.0019596729723121,0.6165831405928508,0,3,34
HR,SE,0,15.014310946504375,35.636,5.22443154047769,20.32535294117647,57.036011171782654,0.1914083842906603,0.13794571384917553,61.66894680470711,90.3,13.375751471871085,7.333935588683606,30.099999999999998,19473.163850824418,156532.6588235294,39916.61759401476,1.7068621939234565,1.0526039384003132,0.6542582555231433,0,5,34
HR,SW,0,15.316106034898173,31.664,5.5790052866905455,20.413852941176472,64.47022783342746,0.1792434221895491,0.3390154928796285,58.6616305865741,86.39999999999999,14.968599022854745,7.102275162007955,25.3,18122.535374873,146812.8088235294,36480.41229093364,1.7403061927021748,1.020891989838222,0.7194142028639527,0,4,34
MB,Cluster,1,13.291507784894879,32.088,3.17877145867639,13.776036363636363,42.932050497495524,0.31458694435880913,0.36234459045047984,69.11659615653363,84.7,9.91292766735689,6.682454279480721,26.2,10698.134878533725,129792.62037037036,23652.49135444181,1.5265214721601033,1.0550796811556704,0.47144179100443284,0,24,55
MB,NE,0,12.811360315373333,27.77,2.250775768867702,10.498109090909091,37.803777785052546,0.4442912589658232,0.24038114870663385,71.73046057893443,83.5,9.006680087722973,7.067788698166604,23.7,3083.2466428637017,50679.91111111111,6495.659101960751,1.479340346466589,1.0611376440504887,0.41820270241610036,0,22,55
MB,NW,0,12.808855984276558,34.166,3.221305122868337,14.736672727272728,43.13256666648929,0.3104331821598983,0.21586292872095925,73.51437265092788,84.5,9.32143805613512,7.210078022752441,28.3,5567.214368274222,83777.09444444445,14283.35843771737,1.4790976565066203,1.087349363075418,0.3917482934312022,0,23,55
MB,SE,0,13.319013354631462,27.059,3.099528767729544,12.794358490566038,47.28319040085013,0.32262968823242005,0.2635584935203621,70.44418027870061,86,10.65632634985168,7.165612310815796,27.2,11557.772552125354,136301.3975609756,25662.505557079665,1.529263823411861,1.0772773647012013,0.4519864587106597,0,23,53
MB,SW,0,12.680043424242427,22.288,2.1644559116724573,9.231036363636363,41.41706911179273,0.4620098725999497,0.05203995202022682,72.57628149531061,83,9.051106783314765,7.195867164352196,22.099999999999998,3884.698916175834,70388.32777777778,8221.049286042691,1.4666617178496275,1.064448536930504,0.4022131809191236,0,23,55
OC,Cluster,1,12.728970833444844,38.260000000000005,5.522351127506097,20.902425,54.63257971772085,0.1810822921090861,0.2993069443329066,77.93492680163274,83.5,13.039479120371173,7.525654936416669,24.7,15562.26512062986,144126.96329113925,33119.32745522141,1.4713744569066138,1.1467146059680908,0.324659850938523,1,63,80
OC,NE,0,11.648404864384085,32.384,4.628080821268182,18.135830985915494,56.00244252073707,0.21607228538545292,0.43666458006031483,82.21329441649682,87,12.661296401658266,7.834613060374166,25.6,7915.0161702815185,113559.94838709678,18968.974074168236,1.370331130136441,1.1265943664999802,0.24373676363646068,0,64,71
OC,NW,0,12.29719179610565,29.438,3.8343811890416863,15.334379746835443,52.090426478821406,0.26079827505358866,0.4136832038943492,74.03559272991212,72.5,11.356445084633487,7.923145205586943,13.7,6243.345811767985,88998.05316455696,12759.43287265069,1.4302403316390522,1.0588869069912332,0.37135342464781895,0,15,80
OC,SE,0,13.556331685603787,37.152,5.860684550995007,21.80002985074627,58.677944258037975,0.17062853175235707,0.29332216055001226,67.54345669427191,75,13.156635857268538,6.817251891698708,12,21458.15261738957,160979.99552238805,42094.94027355028,1.5531050298928812,1.049020823282257,0.5040842066106241,0,6,69
OC,SW,0,12.173393596085162,31.537,4.159426535146936,16.28017142857143,51.6224480089147,0.24041775748412728,0.5968720289148379,71.1726842948718,76.5,11.72539468122217,6.098331196581198,21.4,6166.177340328592,109024.76,15531.275727060094,1.4186343621211521,1.009680155851056,0.40895420627009615,0,14,71
P,Cluster,1,12.086512862696264,22.310000000000002,2.8785352476227906,9.611660714285714,43.08229813664596,0.3473989074220439,0.23383435952598575,69.20910099877868,77,10.574865377135108,5.760117911857991,21.9,2166.920920325141,40036.056363636366,4507.433238079415,1.4105388428316958,0.9762212523623924,0.4343175904693034,0,16,57
P,NE,0,12.455394309540647,30.237,3.5201409880833583,15.021551020408163,49.67936971395365,0.284079530730523,0.26751235712605315,75.34801987214027,86,11.076993896032254,7.435645012460433,26.6,4279.431604951081,78037.33617021276,10026.733368869393,1.445192985264258,1.0889242977276903,0.3562686875365677,0,29,49
P,NW,0,11.760259551956006,32.329,3.5028615738438926,14.690040816326531,45.439205717240036,0.285480878681324,0.5171154480439935,80.01236686815895,78,10.13436949185391,7.60097855341686,26.3,1342.2292128213508,15646.676595744682,2424.0597367241257,1.3804997590599326,1.1045705318330836,0.275929227226849,0,35,49
P,SE,0,13.5176549785824,36.165,5.351935684352844,21.119106382978725,58.39653361808026,0.18684828424295985,0.12243877141760073,68.37439636752137,81.5,12.352054925189135,6.168352175602176,22.7,10803.03397053564,129369.05106382979,24379.781175534456,1.549197428032188,1.059254389958175,0.48994303807401307,0,11,49
P,SW,0,11.981065883068464,24.183,2.9675155194174963,10.507408163265307,43.44956441824962,0.33698223091223917,0.5728959224871364,79.5966050134692,78.5,8.990635268510772,7.793469121861177,24.299999999999997,1800.4605137594501,41857.608510638296,4012.2006736187377,1.4007678555556593,1.114963657142281,0.28580419841337834,0,31,49
SC,Cluster,1,12.617116140264582,31.748,2.501183478261404,11.43948076923077,36.0321304309902,0.39981073307549164,0.5382154569576194,78.3061135459784,76,8.889988297607873,8.062354922490055,22.1,3336.6099869326426,77726.35,9111.582046293666,1.460619983456767,1.143754742720907,0.3168652407358601,0,25,52
SC,NE,0,12.689998287823974,27.637,2.751113913586398,11.234586206896552,40.650527216762136,0.3634891289166516,0.3303159482871276,79.62485959862818,81,9.325462293317033,8.475770367159873,25.7,4486.91045999964,78498.21724137932,9625.237395506118,1.4676195052937118,1.1685899705321994,0.2990295347615124,0,34,58
SC,NW,0,12.729637044356412,23.059,2.1834848712809714,9.00805172413793,39.06523146770428,0.45798348005650996,0.13495670564358875,79.15870305413563,76,8.479171090625524,8.620463347676573,21.9,2115.5274431365265,43908.049999999996,4791.648989691644,1.471438718677543,1.1647718059415344,0.30666691273600866,0,33,58
SC,SE,0,14.156148176100707,38.665000000000006,5.759000944937962,20.433854545454544,52.848453499171185,0.1736412286716116,0.3475266483229067,83.58381393050301,77,11.745359134983623,10.594603262371859,17,14780.88220458671,144429.63454545455,31863.156274464556,1.6148229816661268,1.3497306363028163,0.2650923453633105,0,19,55
SC,SW,0,12.051170362986733,23.106,2.4200454058603618,8.865293103448275,38.367926527517845,0.4132153874379416,0.44860915090211684,72.59482958914187,62.5,8.258226437822865,7.647651022423756,14.7,1478.6716466012863,30409.303448275863,3143.7564079017657,1.4072572677999082,1.021596015440157,0.38566125235975113,0,3,58
TC,Cluster,1,11.538935235342619,21.618,3.43936691496964,11.192516129032258,51.77405925169886,0.2907511832039668,0.09981476465738126,79.96117039497953,83,7.857688281194268,7.408165849646196,23.299999999999997,1391.3967856631323,40650.61290322581,3718.0733523485596,1.3604430963552834,1.0878262224033837,0.2726168739518997,0,20,31
TC,NE,0,11.843778105258863,28.301000000000002,4.0819924322614565,15.123903225806451,53.4394658344456,0.2449784061569149,0.25019064474113684,78.01600230022085,82.5,9.801401162660573,7.345504782244712,23.9,4797.743745573919,98651.69354838709,12159.623405289853,1.3881355356047198,1.0829678513875611,0.3051676842171587,0,20,31
TC,NW,0,11.438300407865158,21.796,3.35154346349743,10.629290322580646,48.767160591762924,0.29836999307670375,0.13172736991264067,79.47516536916349,82,7.576960190334427,7.390584637653495,22.6,855.1122046059469,8450.054838709677,1285.3700565920233,1.3514084388710756,1.0740340916056181,0.2773743472654575,0,20,31
TC,SE,0,13.80028299155146,36.741,7.015229959373293,23.127290322580645,62.946817785527465,0.14254700213552732,0.36947395289293894,72.38284626216077,92.5,16.28618308336246,7.5027503840245755,28.6,22339.317382296475,162049.31935483872,43319.17245490645,1.5779519643560518,1.1421665444505869,0.43578541990546493,1,21,31
TC,SW,0,11.737821328773137,25.822000000000003,3.4759599294540346,12.589193548387097,48.753750865103775,0.28769031297695913,0.19125158789356256,77.72856144874196,84,8.179691312075168,7.27113701982129,24.5,734.1558298760021,12186.190322580645,1292.22229763941,1.378454618140313,1.0714529449042145,0.3070016732360985,0,20,31
